Year,Coal,Oil,Natural gas,Nuclear,Hydro,Biofuels,Other renewables
1971,26.1,44.3,16.2,0.5,1.9,10.8,0.2
2019,26.8,30.9,23.2,5.0,2.5,9.4,2.2
